elevation;sp1;sp2;sp3;sp4;sp5;sp6;sp7;sp8;sp9;sp10;sp11;sp12;sp13;sp14;sp15;sp16;sp17;sp18;sp19;sp20;sp21;sp22;sp23;sp24;sp25;sp26;sp27;sp28;sp29;sp30;sp31;sp32;sp33;sp34;sp35;sp36;sp37;sp38;sp39;sp40;sp41
45.93;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;53;0;30;0;0
46;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;24;0;3;0;64;0;5;0;0
45.97;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;21;0;0;0;11;0;12;0;0
45.93;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;10;0;71;0;0;0;42;0;0;0;0
45.9;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;18;0;0;0;99;0;0;0;0
45.9;2;8;0;0;0;0;16;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;8;0;5;0;0;0;0
45.81;0;10;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;2;0;34;0;0;0;0;0;0;2;0;4;0;0;0;40;0;0;0;0
45.78;0;10;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;15;0;0;0;4;0;18;0;18
45.89;0;10;0;0;0;0;16;0;0;0;0;0;0;0;0;7;0;0;0;0;0;6;0;23;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;25
45.88;1;9;0;0;0;0;22;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;0;16;5;0;0;0;0
45.77;3;7;0;0;0;0;12;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;18;96;0;0;0;0
45.7;1;7;0;0;2;0;5;0;0;0;0;0;0;0;0;8;0;0;0;0;0;6;49;0;0;0;0;0;0;0;0;0;0;7;0;0;68;0;0;0;0
